Date,Attendance,School,Conference
08/30/2024,23760,Army West Point,American
09/07/2024,21810,Army West Point,American
09/21/2024,26654,Army West Point,American
09/26/2024,13255,Army West Point,American
10/05/2024,24409,Army West Point,American
10/12/2024,29002,Army West Point,American
10/19/2024,29044,Army West Point,American
11/02/2024,30046,Army West Point,American
11/09/2024,28519,Army West Point,American
11/23/2024,47342,Army West Point,American
11/30/2024,22120,Army West Point,American
12/06/2024,14016,Army West Point,American
12/14/2024,60726,Army West Point,American
12/28/2024,34283,Army West Point,American
08/31/2024,15614,Charlotte,American
09/07/2024,48431,Charlotte,American
09/14/2024,16715,Charlotte,American
09/21/2024,43109,Charlotte,American
09/28/2024,17455,Charlotte,American
10/05/2024,17102,Charlotte,American
10/19/2024,35094,Charlotte,American
10/26/2024,25478,Charlotte,American
10/31/2024,12268,Charlotte,American
11/16/2024,15030,Charlotte,American
11/23/2024,15066,Charlotte,American
11/30/2024,8091,Charlotte,American
08/31/2024,36467,ECU,American
09/07/2024,21944,ECU,American
09/14/2024,46117,ECU,American
09/21/2024,24076,ECU,American
09/28/2024,41851,ECU,American
10/05/2024,17102,ECU,American
10/19/2024,29044,ECU,American
10/26/2024,33744,ECU,American
11/07/2024,30573,ECU,American
11/14/2024,17979,ECU,American
11/23/2024,17387,ECU,American
11/29/2024,35663,ECU,American
12/28/2024,23981,ECU,American
08/30/2024,70271,Florida Atlantic,American
09/07/2024,21810,Florida Atlantic,American
09/14/2024,24283,Florida Atlantic,American
09/21/2024,20144,Florida Atlantic,American
09/28/2024,21151,Florida Atlantic,American
10/12/2024,14576,Florida Atlantic,American
10/19/2024,20802,Florida Atlantic,American
11/01/2024,20111,Florida Atlantic,American
11/07/2024,30573,Florida Atlantic,American
11/16/2024,12291,Florida Atlantic,American
11/23/2024,15066,Florida Atlantic,American
11/30/2024,15243,Florida Atlantic,American
08/31/2024,25849,Memphis,American
09/07/2024,23246,Memphis,American
09/14/2024,55107,Memphis,American
09/21/2024,31268,Memphis,American
09/28/2024,25266,Memphis,American
10/12/2024,3365,Memphis,American
10/19/2024,24110,Memphis,American
10/26/2024,25478,Memphis,American
11/02/2024,17198,Memphis,American
11/08/2024,23692,Memphis,American
11/16/2024,24225,Memphis,American
11/28/2024,25021,Memphis,American
12/17/2024,12022,Memphis,American
08/31/2024,28763,Navy,American
09/07/2024,28889,Navy,American
09/21/2024,31268,Navy,American
09/28/2024,21536,Navy,American
10/05/2024,39441,Navy,American
10/19/2024,35094,Navy,American
10/26/2024,76112,Navy,American
11/02/2024,21253,Navy,American
11/09/2024,34091,Navy,American
11/16/2024,38914,Navy,American
11/29/2024,35663,Navy,American
12/14/2024,60726,Navy,American
12/27/2024,50754,Navy,American
08/31/2024,15559,North Texas,American
09/07/2024,23510,North Texas,American
09/14/2024,57865,North Texas,American
09/21/2024,27049,North Texas,American
09/28/2024,18529,North Texas,American
10/12/2024,14576,North Texas,American
10/19/2024,24110,North Texas,American
10/26/2024,23138,North Texas,American
11/09/2024,28519,North Texas,American
11/15/2024,21350,North Texas,American
11/23/2024,17387,North Texas,American
11/30/2024,11589,North Texas,American
01/03/2025,28725,North Texas,American
08/31/2024,17298,Rice,American
09/07/2024,17760,Rice,American
09/14/2024,28146,Rice,American
09/21/2024,26654,Rice,American
09/28/2024,17455,Rice,American
10/12/2024,18660,Rice,American
10/19/2024,22897,Rice,American
10/26/2024,23711,Rice,American
11/02/2024,21253,Rice,American
11/08/2024,23692,Rice,American
11/23/2024,16181,Rice,American
11/30/2024,16430,Rice,American
08/31/2024,36694,South Florida,American
09/07/2024,100077,South Florida,American
