game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401643699,1,regular,FALSE,FALSE,Falcon Stadium,Air Force,Mountain West,21,Merrimack,FCS Independents,6,08/31/2024,31658
401643705,2,regular,FALSE,TRUE,Falcon Stadium,Air Force,Mountain West,7,San José State,Mountain West,17,09/07/2024,22478
401636860,3,regular,FALSE,FALSE,McLane Stadium,Baylor,Big 12,31,Air Force,Mountain West,3,09/14/2024,46212
401643718,5,regular,FALSE,TRUE,War Memorial Stadium,Wyoming,Mountain West,31,Air Force,Mountain West,19,09/28/2024,23068
401643722,6,regular,FALSE,FALSE,Falcon Stadium,Air Force,Mountain West,7,Navy,American Athletic,34,10/05/2024,39441
401643727,7,regular,FALSE,TRUE,University Stadium (NM),New Mexico,Mountain West,52,Air Force,Mountain West,37,10/12/2024,15561
401643734,8,regular,FALSE,TRUE,Falcon Stadium,Air Force,Mountain West,13,Colorado State,Mountain West,21,10/19/2024,27598
401643746,10,regular,FALSE,FALSE,Michie Stadium,Army,American Athletic,20,Air Force,Mountain West,3,11/02/2024,30046
401643751,11,regular,FALSE,TRUE,Falcon Stadium,Air Force,Mountain West,36,Fresno State,Mountain West,28,11/09/2024,14794
401643757,12,regular,FALSE,FALSE,Falcon Stadium,Air Force,Mountain West,28,Oregon State,Pac-12,0,11/16/2024,21385
401643763,13,regular,FALSE,TRUE,Mackay Stadium,Nevada,Mountain West,19,Air Force,Mountain West,22,11/23/2024,12228
401643768,14,regular,FALSE,TRUE,Snapdragon Stadium,San Diego State,Mountain West,20,Air Force,Mountain West,31,11/30/2024,18045
401628455,1,regular,FALSE,FALSE,Ohio Stadium,Ohio State,Big Ten,52,Akron,Mid-American,6,08/31/2024,102011
401628471,2,regular,FALSE,FALSE,SHI Stadium,Rutgers,Big Ten,49,Akron,Mid-American,17,09/07/2024,41021
401644733,3,regular,FALSE,FALSE,InfoCision Stadium,Akron,Mid-American,31,Colgate,Patriot,20,09/14/2024,8932
401628370,4,regular,FALSE,FALSE,Williams-Brice Stadium,South Carolina,SEC,50,Akron,Mid-American,7,09/21/2024,78704
401644738,5,regular,FALSE,TRUE,Peden Stadium,Ohio,Mid-American,30,Akron,Mid-American,10,09/28/2024,21265
401644740,6,regular,FALSE,TRUE,InfoCision Stadium,Akron,Mid-American,20,Bowling Green,Mid-American,27,10/05/2024,9337
401644742,7,regular,FALSE,TRUE,Waldo Stadium,Western Michigan,Mid-American,34,Akron,Mid-American,24,10/12/2024,19507
401644752,9,regular,FALSE,TRUE,InfoCision Stadium,Akron,Mid-American,25,Eastern Michigan,Mid-American,21,10/27/2024,4277
401644757,10,regular,FALSE,TRUE,InfoCision Stadium,Akron,Mid-American,30,Buffalo,Mid-American,41,11/02/2024,4610
401644766,12,regular,FALSE,TRUE,Huskie Stadium,Northern Illinois,Mid-American,29,Akron,Mid-American,16,11/13/2024,6795
401644769,13,regular,FALSE,TRUE,Dix Stadium,Kent State,Mid-American,17,Akron,Mid-American,38,11/19/2024,6768
401644775,14,regular,FALSE,TRUE,InfoCision Stadium,Akron,Mid-American,21,Toledo,Mid-American,14,11/26/2024,4716
