Date,Attendance,School,Conference
08/31/2024,31658,Air Force,Mountain West
09/07/2024,22478,Air Force,Mountain West
09/14/2024,46212,Air Force,Mountain West
09/28/2024,23068,Air Force,Mountain West
10/05/2024,39441,Air Force,Mountain West
10/12/2024,15561,Air Force,Mountain West
10/19/2024,27598,Air Force,Mountain West
11/02/2024,30046,Air Force,Mountain West
11/09/2024,14794,Air Force,Mountain West
11/16/2024,21385,Air Force,Mountain West
11/23/2024,12228,Air Force,Mountain West
11/30/2024,18045,Air Force,Mountain West
08/31/2024,102011,Akron,MAC
09/07/2024,41021,Akron,MAC
09/14/2024,8932,Akron,MAC
09/21/2024,78704,Akron,MAC
09/28/2024,21265,Akron,MAC
10/05/2024,9337,Akron,MAC
10/12/2024,19507,Akron,MAC
10/27/2024,4277,Akron,MAC
11/02/2024,4610,Akron,MAC
11/13/2024,6795,Akron,MAC
11/19/2024,6768,Akron,MAC
11/26/2024,4716,Akron,MAC
08/31/2024,36232,Appalachian State,Sun Belt
09/07/2024,81500,Appalachian State,Sun Belt
09/14/2024,46117,Appalachian State,Sun Belt
09/19/2024,34133,Appalachian State,Sun Belt
10/05/2024,28023,Appalachian State,Sun Belt
10/12/2024,14058,Appalachian State,Sun Belt
10/26/2024,33783,Appalachian State,Sun Belt
11/02/2024,34954,Appalachian State,Sun Belt
11/07/2024,19415,Appalachian State,Sun Belt
11/23/2024,34012,Appalachian State,Sun Belt
11/30/2024,23383,Appalachian State,Sun Belt
08/31/2024,21708,Arkansas State,Sun Belt
09/07/2024,19316,Arkansas State,Sun Belt
09/14/2024,110250,Arkansas State,Sun Belt
09/21/2024,55428,Arkansas State,Sun Belt
10/05/2024,21427,Arkansas State,Sun Belt
10/12/2024,28000,Arkansas State,Sun Belt
10/19/2024,24542,Arkansas State,Sun Belt
10/26/2024,17162,Arkansas State,Sun Belt
11/09/2024,16451,Arkansas State,Sun Belt
11/16/2024,14047,Arkansas State,Sun Belt
11/23/2024,14029,Arkansas State,Sun Belt
